,Cloudiness,Country,Date,Humidity,Lat,Lng,MaxTemp,WindSpeed
125,40,ZA,2018-10-09 00:00:00,93,-33.93,18.42,286.15,2.6
126,0,PT,2018-10-09 00:46:35,90,41.42,-6.55,280.256,2.86
127,92,IN,2018-10-09 00:39:10,99,22.49,92.98,292.406,0.76
128,32,HT,2018-10-09 00:39:10,100,18.65,-74.12,299.756,1.11
129,20,BR,2018-10-09 00:00:00,78,-0.12,-51.29,301.15,5.1
130,40,DZ,2018-10-09 00:00:00,93,36.36,6.61,287.15,2.6
131,1,US,2018-10-09 00:15:00,84,37.3,-77.29,297.15,2.1
132,100,PT,2018-10-09 00:46:37,100,38.52,-28.7,295.156,6.81
133,92,CN,2018-10-09 00:39:12,99,29.72,112.52,290.206,2.91
134,0,PK,2018-10-08 23:59:00,83,24.87,67.03,300.15,2.1
135,68,CN,2018-10-09 00:46:38,92,32.31,121.18,294.506,2.61
136,100,VU,2018-10-09 00:46:39,100,-15.51,167.18,295.756,3.11
137,92,BR,2018-10-09 00:46:39,96,-22.97,-42.02,296.106,10.31
138,0,MG,2018-10-09 00:46:39,82,-13.19,49.05,294.006,4.31
139,20,BR,2018-10-09 00:00:00,78,-6.97,-34.84,297.15,3.6
140,80,RU,2018-10-09 00:46:40,98,73.51,80.55,276.756,9.51
141,0,ZA,2018-10-09 00:39:18,97,-33.02,27.91,294.756,12.46
142,88,CD,2018-10-09 00:39:18,98,2.74,23.78,294.556,1.11
143,0,ZA,2018-10-09 00:46:41,86,-33.59,26.89,293.956,7.11
144,40,US,2018-10-09 00:08:00,79,38.05,-84.5,298.75,1.5
145,0,PK,2018-10-09 00:39:19,62,25.21,64.64,300.756,9.61
146,0,TM,2018-10-09 00:00:00,81,38.05,58.21,281.15,2.1
147,40,SN,2018-10-09 00:00:00,88,14.69,-17.45,301.15,5.1
148,0,CN,2018-10-09 00:39:21,63,40.29,97.04,271.106,1.86
149,0,AU,2018-10-09 00:30:00,17,-20.73,139.49,307.15,5.1
150,44,BR,2018-10-09 00:35:06,80,-32.03,-52.1,295.256,7.16
151,0,SA,2018-10-09 00:00:00,26,18.39,42.45,289.15,2.46
152,0,TM,2018-10-09 00:39:22,66,39.24,55.52,279.156,2.31
153,40,NO,2018-10-08 23:50:00,79,78.22,15.63,269.15,2.6
154,88,GL,2018-10-08 23:50:00,100,64.17,-51.74,273.15,4.1
155,56,RU,2018-10-09 00:46:45,97,66.77,123.37,271.906,2.51
156,92,RU,2018-10-09 00:39:24,100,63.05,179.32,280.706,9.71
157,92,RU,2018-10-09 00:39:24,88,53.19,44.05,280.406,3.86
158,88,CA,2018-10-09 00:39:24,80,46.12,-70.67,281.706,2.21
159,12,BR,2018-10-09 00:39:25,90,-19.53,-54.04,294.906,2.61
160,8,RU,2018-10-09 00:39:25,87,62.65,135.58,267.106,1.76
161,0,DE,2018-10-09 00:20:00,87,47.83,10.02,287.15,1.5
162,32,IT,2018-10-09 00:39:26,95,39.93,9.66,286.656,1.66
163,0,BE,2018-10-09 00:25:00,93,50.58,5.07,282.15,3.6
